no,grammar,shape,meaning,interpretation,example,created_at
13,〜かもしれない,"1. 동사:	보통형 + かもしれない
2. い형용사:	보통형 + かもしれない
3. な형용사:	だ → 빼고 + かもしれない
4. 명사:	だ → 빼고 + かもしれない","~일지도 모른다 / ~일지도 모르다 (추측, 가능성)","확실하지 않지만 가능성이 있다 / 추측

だろう > かもしれない > 可能性がある
(확신)     (아마?)       (가능성 있음)","雨が降るかもしれない。
→ 비가 올지도 모른다.

高いかもしれない。
→ 비쌀지도 모른다.

静かかもしれない。
→ 조용할지도 모른다.

彼は学生かもしれない。
→ 그는 학생일지도 모른다.",2026-03-24 01:47:03
14,〜くなる,"1. 동사: ❌ (동사에는 안 씀 → ようになる 사용)
2. い형용사: い → く + なる
3. な형용사: に + なる
4. 명사: に + なる",~해지다 / ~하게 되다 (변화),형용사가 상태 변화를 나타낼 때 쓰는 문법.,"寒くなる。
→ 추워지다.

高くなった。
→ 비싸졌다.

日本語が上手くなった。
→ 일본어가 잘하게 되었다.",2026-03-24 01:48:21
15,〜くらい / 〜くらいだ,"1. 동사: 보통형 + くらい
2. い형용사: 보통형 + くらい
3. な형용사: な + くらい
4. 명사: の + くらい
※ くらい = ぐらい (둘 다 같음)",~정도 / ~정도이다 / ~할 정도로,사물의 대력적인 분량 정도 및 동작이나 상태의 정도를 나타낼때 표현,"死ぬくらい疲れた。
→ 죽을 정도로 피곤하다.

泣きたいくらい嬉しい。
→ 울고 싶을 정도로 기쁘다.

日本語が話せるくらい勉強した。
→ 일본어 말할 수 있을 정도로 공부했다.",2026-03-24 01:50:05
16,〜こと,"1. 동사: 보통형 + こと
2. い형용사: 보통형 + こと
3. な형용사: だ → 빼고 + な + こと
4. 명사: の + こと",~것 / ~일 / ~경우 / ~하기,동사를 명사처럼 만들 때 쓰는 문법. (명사화),"日本語を勉強することは楽しい。
→ 일본어를 공부하는 것은 재미있다.

走ることが好きです。
→ 달리는 것을 좋아합니다.

日本へ行くことが夢です。
→ 일본에 가는 것이 꿈입니다.",2026-03-24 01:52:15
17,〜ことか,"1. 동사: 보통형 + ことか
2. い형용사: 보통형 + ことか
3. な형용사: だ → 빼고 + な + ことか
4. 명사: だ → 빼고 + の + ことか",~던가 / ~인지 / 얼마나 ~한지 (감탄),"이 문법은 두 가지 의미가 있음.
1️⃣ ~던가 / ~인지 (의문·회상)
2️⃣ 얼마나 ~한지 (감탄)","どれだけ嬉しかったことか。
→ 얼마나 기뻤는지.

どんなに大変だったことか。
→ 얼마나 힘들었는지.

どれほど心配したことか。
→ 얼마나 걱정했는지.",2026-03-24 01:53:36
18,〜ことから,"1. 동사: 보통형 + ことから
2. い형용사: 보통형 + ことから
3. な형용사: だ → 빼고 + な + ことから
4. 명사: の + ことから",~때문에 / ~라는 이유로 / ~한 점에서 / ~으로부터,어떤 사실을 근거로 → 이유 / 판단 / 결론,"이유
道が濡れていることから、雨が降ったと分かる。
→ 길이 젖어 있는 것으로 보아 비가 온 것을 알 수 있다.

근거 / 판단
声が震えていることから、彼は緊張しているようだ。
→ 목소리가 떨리는 것으로 보아 그는 긴장한 것 같다.

유래
この町は桜が多いことから、桜町と呼ばれている。
→ 이 마을은 벚꽃이 많은 것에서 유래하여 사쿠라마치라고 불린다.",2026-03-24 02:10:42
19,〜ことができる,"동사: 사전형 + ことができる
い형용사: ❌ 사용 안 함
な형용사: ❌ 사용 안 함
명사: ❌ 사용 안 함
⚠️ 동사에만 사용",~할 수 있다 (가능),동사를 가능 표현으로 만들 때 쓰는 문법.,"日本語を話すことができる。
→ 일본어를 할 수 있다.

ここで写真を撮ることができます。
→ 여기서 사진 찍을 수 있습니다.

一人で行くことができる。
→ 혼자 갈 수 있다.",2026-03-24 02:12:02
20,가능형,"1그룹 동사 (う → え)
2그룹 동사 (る 제거 + られる)
3그룹 동사
 - する -> できる
 - 来る -> 来られる",,,"日本語が話せる。
→ 일본어 할 수 있다.

車が運転できる。
→ 차 운전할 수 있다.

寿司が食べられる。
→ 초밥 먹을 수 있다.

明日は来られない。
→ 내일은 올 수 없다.",2026-03-24 02:14:30
21,~ことで,"동사: 사전형 + ことで
명사: 명사 + で + ある → であることで (보통은 명사 + で + ある 생략해서 명사 + で + ある 느낌으로 사용)
な형용사: な + ことで
い형용사: 기본형 + ことで

실제로는 거의 동사 + ことで 가 제일 많이 사용됨.",~해서 / ~로 인해 / ~것으로,어떤 원인 / 방법 / 계기 / 이유 를 나타낼 때 씀,"동사
日本に行くことで、考え方が変わりました。
→ 일본에 감으로써 생각이 바뀌었습니다.
毎日運動することで、健康になります。
→ 매일 운동함으로써 건강해집니다.
勉強したことで、試験に合格しました。
→ 공부했기 때문에 시험에 합격했습니다.
명사
彼がリーダーであることで、チームがまとまった。
→ 그가 리더였기 때문에 팀이 정리되었다.
형용사
部屋が静かなことで、よく眠れました。
→ 방이 조용했기 때문에 잘 잤습니다.",2026-03-24 12:22:58
22,~ことにする,"동사: 사전형 + ことにする
동사: ない형 + ことにする (안 하기로 하다)",~하기로 하다(자기 의),자기 스스로 결정했을 때 사용,"긍정
日本に行くことにした。
→ 일본에 가기로 했다.
毎日運動することにする。
→ 매일 운동하기로 한다.
お酒はやめることにした。
→ 술은 끊기로 했다.

부정
タバコは吸わないことにした。
→ 담배는 피지 않기로 했다.
明日は行かないことにする。
→ 내일은 가지 않기로 한다.",2026-03-24 12:24:14
23,~ことになる / ~ことになっている,"동사: 사전형 + ことになる
동사: ない형 + ことになる",~하게 되다 / ~하게 되어 있다,"1. ~ことになる
의미
~하게 되다
~하게 정해지다
~하게 되었다 (내 의지 아님)
상황 / 회사 / 규칙 / 타인이 결정

👉 내가 결정한 게 아님

2. ~ことになっている
의미
~하게 되어 있다
~하기로 되어 있다
규칙 / 법 / 예정 / 시스템 / 습관

👉 이미 정해져 있는 규칙 / 상태","日本に行くことになった。
→ 일본에 가게 되었다.
来月から働くことになりました。
→ 다음 달부터 일하게 되었습니다.
会議は中止することになった。
→ 회의는 취소하게 되었다.
タバコは吸わないことになった。
→ 담배는 피지 않게 되었다.

この学校では制服を着ることになっている。
→ 이 학교에서는 교복을 입게 되어 있다.
日本では車は左側を走ることになっている。
→ 일본에서는 차가 좌측통행 하도록 되어 있다.
会議は3時に始まることになっている。
→ 회의는 3시에 시작하게 되어 있다.
ここではタバコを吸わないことになっている。
→ 여기서는 담배를 피우지 않도록 되어 있다.",2026-03-24 12:26:06
24,~し,"동사: 보통형 + し
い형용사: 보통형 + し
な형용사: だ + し
명사: だ + し

※ 회화에서는 だ 자주 생략함","~하고, ~하고, ~니까, ~도 하고",이유 여러 개 말할 때 / 나열할 때,"동사
雨が降るし、行かない。
→ 비도 오고 해서 안 간다.
お金もないし、時間もない。
→ 돈도 없고 시간도 없다.

い형용사
この店は安いし、おいしい。
→ 이 가게는 싸고 맛있다.

な형용사 / 명사
彼は親切だし、頭もいい。
→ 그는 친절하고 머리도 좋다.
日本人だし、日本語が上手だ。
→ 일본인이니까 일본어를 잘한다.",2026-03-24 12:27:17
25,~しか ~ない,"명사: 명사 + しか + 동사 ない형
동사: 동사 사전형 + しかない (이 경우는 의미가 조금 다름 → 어쩔 수 없이 ~하다)",~밖에 ~않다,"그것만이라고 한정할 때 사용 
👉 항상 뒤에 부정형 (ない) 와 같이 사용함","お金が100円しかない。
→ 돈이 100엔밖에 없다.
水しか飲まない。
→ 물밖에 안 마신다.
一人しか来なかった。
→ 한 명밖에 안 왔다.
これしかない。
→ 이것밖에 없다.
日本語しか話せない。
→ 일본어밖에 못 한다.",2026-03-24 12:29:57
26,～すぎる,"동사: ます형 어간 + すぎる
い형용사: い 제거 + すぎる
な형용사: だ 제거 + すぎる",너무 ~하다 / 지나치게 ~하다,어떤 동작이나 상태가 도에 지나쳐 바람직한 못한 상,"食べすぎた → 너무 많이 먹었다
飲みすぎた → 술 너무 마셨다
買いすぎた → 너무 많이 샀다
働きすぎ → 과로
考えすぎ → 너무 많이 생각함
心配しすぎ → 너무 걱정함",2026-03-24 12:35:46
27,～ずに / ～ないで,"1. ～ないで
동사: ない형 + で

2. ～ずに
동사: ない형 → ない 제거 + ずに
예외:
する → せずに
来る → 来ずに（こずに）",~하지 않고 / ~하지 않은 채,어떠한 일을 하지 않은 상태에서 다른 동작을 한다는 의미,"1. ～ないで
朝ご飯を食べないで会社に行った。
→ 아침을 먹지 않고 회사에 갔다.
何も言わないで帰った。
→ 아무 말도 하지 않고 돌아갔다.
勉強しないで遊んだ。
→ 공부하지 않고 놀았다.

2. ～ずに
朝ご飯を食べずに学校に来た。
→ 아침을 먹지 않고 학교에 왔다.
彼は何も言わずに帰った。
→ 그는 아무 말도 하지 않고 돌아갔다.
勉強せずに試験を受けた。
→ 공부하지 않고 시험을 봤다.",2026-03-24 12:38:03
28,～せいか / ～せいで,"1. ～せいか
동사: 보통형 + せいか
い형용사: 보통형 + せいか
な형용사: な + せいか
명사: の + せいか

2. ～せいで
동사: 보통형 + せいで
い형용사: 보통형 + せいで
な형용사: な + せいで
명사: の + せいで","~탓인지, ~때문인지 / ~탓으로, ~때문에",이유 표현 (특히 나쁜 결과),"1. ～せいか
昨日寝なかったせいか、今日は眠い。
→ 어제 안 자서 그런지 오늘 졸리다.
雨のせいか、人が少ない。
→ 비 때문인지 사람이 적다.
風邪のせいか、頭が痛い。
→ 감기 때문인지 머리가 아프다.
年のせいか、疲れやすい。
→ 나이 때문인지 쉽게 피곤하다.

2. ～せいで
동사
雨が降ったせいで、試合が中止になった。
→ 비가 온 탓에 시합이 취소되었다.
寝不足のせいで、頭が痛い。
→ 수면 부족 때문에 머리가 아프다.
형용사
天気が悪いせいで、気分が悪い。
→ 날씨가 안 좋아서 기분이 안 좋다.
명사
彼のせいで、負けた。
→ 그 때문에 졌다.
事故のせいで、電車が遅れた。
→ 사고 때문에 전차가 늦었다.",2026-03-24 12:41:24
29,～そうだ,"1. ～そうだ (겉보기 / 추측)
동사: ます형 어간 + そうだ
い형용사: い 제거 + そうだ
な형용사: 어간 + そうだ
※ 명사에는 거의 안 씀

2. ～そうだ (전해 들은 정보)
동사: 보통형 + そうだ
い형용사: 보통형 + そうだ
な형용사: だ + そうだ
명사: だ + そうだ","~한듯하다, ~일것같아 / ~라고한다","～そうだ (겉보기 / 추측) → ~한 것 같다 / ~일 것 같다
～そうだ (전해 들은 정보) → ~라고 한다 / ~라더라","1. ～そうだ (겉보기 / 추측)
雨が降りそうだ。
→ 비가 올 것 같다.
このケーキはおいしそうだ。
→ 이 케이크 맛있어 보인다.
高そうだ。
→ 비쌀 것 같다.
忙しそうだ。
→ 바빠 보인다.

2. ～そうだ (전해 들은 정보)
明日は雨だそうだ。
→ 내일 비라고 한다.
彼は来ないそうだ。
→ 그는 안 온다고 한다.
この店は有名だそうだ。
→ 이 가게는 유명하다고 한다.
日本は物価が高いそうだ。
→ 일본은 물가가 비싸다고 한다.",2026-03-24 12:43:57
30,～そうもない / ～そうに(も)ない,"동사: ます형 어간 + そうもない
동사: ます형 어간 + そうにない
(둘 다 같은 의미)",~할 것 같지도 않다 / ~일 것 같지 않다,"～そうだ(겉보기)의 부정형이라고 생각하면 됨.
실현될 가능성이 적음","雨は降りそうもない。
→ 비는 올 것 같지 않다.
彼は来そうもない。
→ 그는 올 것 같지 않다.
合格できそうもない。
→ 합격할 것 같지 않다.
電車は間に合いそうもない。
→ 전철은 맞출 수 있을 것 같지 않다.
この仕事は終わりそうもない。
→ 이 일은 끝날 것 같지 않다.",2026-03-24 12:45:46
31,～だけで(は)なく / ～ばかりで(は)なく/ ～ばかりか / ～に限らず（にかぎらず）,"1. ～だけで(は)なく
동사	보통형 + だけで(は)なく
い형용사	보통형 + だけで(は)なく
な형용사	な + だけで(は)なく
명사	だけで(は)なく

2. ～ばかりで(は)なく
동사	보통형 + ばかりで(は)なく
い형용사	보통형 + ばかりで(は)なく
な형용사	な + ばかりで(は)なく
명사	ばかりで(は)なく

3. ～ばかりか 
동사	보통형 + ばかりか
い형용사	보통형 + ばかりか
な형용사	な + ばかりか
명사	ばかりか

4. ～に限らず
명사
名詞 + に限らず",~뿐만 아니라,이것만이 아니라 다른 것도 있다는 추가의 이미,"1. ～だけで(は)なく
日本語だけでなく、英語も話せます。
→ 일본어뿐만 아니라 영어도 할 수 있습니다.
彼は親切なだけでなく、頭もいい。
→ 그는 친절할 뿐만 아니라 머리도 좋다.
この店は安いだけでなく、おいしい。
→ 이 가게는 쌀 뿐만 아니라 맛있다.

2. ～ばかりで(は)なく
日本は物価が高いばかりでなく、税金も高い。
→ 일본은 물가가 비쌀 뿐만 아니라 세금도 비싸다.
彼は歌が上手なばかりでなく、ダンスも上手だ。
→ 그는 노래뿐만 아니라 춤도 잘 춘다.

3. ～ばかりか
彼は日本語ばかりか、英語も中国語も話せる。
→ 그는 일본어뿐만 아니라 영어와 중국어도 한다.
雨ばかりか、風も強い。
→ 비뿐만 아니라 바람도 강하다.
遅刻したばかりか、宿題も忘れた。
→ 지각했을 뿐만 아니라 숙제도 잊었다.

4. ～に限らず（にかぎらず）
日本に限らず、韓国でも人気がある。
→ 일본뿐만 아니라 한국에서도 인기가 있다.
大人に限らず、子供にも人気だ。
→ 어른뿐만 아니라 아이에게도 인기 있다.
この問題は学生に限らず、社会人も難しい。
→ 이 문제는 학생뿐만 아니라 사회인도 어렵다.",2026-03-24 12:50:29
32,～たことがある,동사: た형 + ことがある,~한 적이 있다,과거 경험 이야기할 때 사용,"日本に行ったことがある。
→ 일본에 가 본 적 있다.
寿司を食べたことがある。
→ 초밥을 먹어 본 적 있다.
富士山に登ったことがあります。
→ 후지산에 올라간 적 있습니다.
一度も行ったことがない。
→ 한 번도 가 본 적 없다.
その映画を見たことがある。
→ 그 영화 본 적 있다.",2026-03-24 12:59:18
33,～だって,"명사 + だって

～だって (전문)
동사	보통형 + だって
い형용사	보통형 + だって
명사	명사 + だって
な형용사	어간 + だって","~라도 / ~일지라도(も 대신, 회화) / ~래 / ~라고 하더라 (전문)","의문 부정을 나타내는말 또는 수량,정도를 나타내는말","子供だって分かる。
→ 애라도 알겠다.
一人だって行く。
→ 혼자라도 간다.
日曜日だって働く。
→ 일요일이라도 일한다.

～だって (전문)
明日雨だって。
→ 내일 비래.
彼は来ないんだって。
→ 걔 안 온대.
この店は有名だって。
→ 이 가게 유명하대.
日本は物価が高いだって。
→ 일본 물가 비싸대.",2026-03-24 13:04:48
34,～たところだ,"동사: た형 + ところだ

食べる	食べたところだ
行く	行ったところだ
終わる	終わったところだ
来る	来たところだ
電話する	電話したところだ",막 ~한 참이다,"어떤 행동이 지금 막 끝났음을 나타내는 표현

👉아주 조금 전에 막 끝남","今ご飯を食べたところだ。
→ 지금 밥 막 먹은 참이다.
今会社に着いたところです。
→ 지금 회사에 막 도착했습니다.
今電話したところだ。
→ 방금 전화한 참이다.
仕事が終わったところだ。
→ 일이 막 끝난 참이다.",2026-03-24 13:06:11
35,～たばかりだ,"동사: た형 + ばかりだ

行く ->	行ったばかり
食べる	-> 食べたばかり
来る	-> 来たばかり
始める	-> 始めたばかり
買う	-> 買ったばかり",~한 지 얼마 안 됐다 / 막 ~했다,👉 시간이 조금 지나도 사용 가능,"日本に来たばかりです。
→ 일본 온 지 얼마 안 됐습니다.
この会社に入ったばかりです。
→ 이 회사 들어온 지 얼마 안 됐습니다.
さっき買ったばかりです。
→ 아까 막 샀어요.
昨日習ったばかりです。
→ 어제 막 배웠어요.
仕事が終わったばかりです。
→ 일이 막 끝났어요.",2026-03-24 13:08:14
36,～たびに,"동사	사전형 + たびに
명사	명사 + の + たびに",~할 때마다,어떤 일이 반복될 때마다 항상 같은 일이 일어남,"日本に行くたびに、寿司を食べる。
→ 일본 갈 때마다 초밥을 먹는다.
この歌を聞くたびに、学生時代を思い出す。
→ 이 노래 들을 때마다 학생 시절이 생각난다.
彼に会うたびに、緊張する。
→ 그를 만날 때마다 긴장한다.
試験を受けるたびに、お腹が痛くなる。
→ 시험 볼 때마다 배가 아프다.

명사
旅行のたびに、写真を撮る。
→ 여행할 때마다 사진을 찍는다.
会議のたびに、問題が起こる。
→ 회의할 때마다 문제가 생긴다.",2026-03-24 13:19:49
37,～たまま / ～まま,"동사	た형 + まま
동사	ない형 + まま
명사	の + まま
い형용사	기본형 + まま
な형용사	な + まま",,같은 상태가 변하지않고 계속되는것,"동사 + たまま
ドアを開けたまま寝た。
→ 문을 열어 둔 채로 잤다.
電気をつけたまま出かけた。
→ 불 켜 놓은 채로 외출했다.
靴を履いたまま入らないでください。
→ 신발 신은 채로 들어오지 마세요.
テレビをつけたまま寝てしまった。
→ TV 켜 놓은 채로 잠들어 버렸다.

동사 + ないまま
朝ご飯を食べないまま学校に行った。
→ 아침 안 먹은 채로 학교 갔다.
宿題をしないまま寝た。
→ 숙제 안 한 채로 잤다.
彼に会わないまま帰国した。
→ 그를 만나지 못한 채 귀국했다.

명사 + のまま
このまま待ってください。
→ 이대로 기다려 주세요.
昔のまま変わっていない。
→ 옛날 그대로 변하지 않았다.
服のまま寝た。
→ 옷 입은 채로 잤다.",2026-03-24 13:21:50
38,～ために,"1. ～ために (목적)
 - ~하기 위해서 / ~하려고
동사	사전형 + ために
명사	の + ために

2. ～ために (이유)
~때문에 / ~로 인해 / 원인 / 이유
👉 나쁜 결과에 많이 사용
동사	보통형 + ために
い형용사	보통형 + ために
な형용사	な + ために
명사	の + ために",~하기 위해서 / ~때문에,"동작의 목적 또는 원인,이유를 나타내는 2가지 뜻이 있음","1. ～ために (목적)
日本に行くために、日本語を勉強している。
→ 일본에 가기 위해 일본어 공부하고 있다.
お金を貯めるために、働いている。
→ 돈을 모으기 위해 일하고 있다.
健康のために、毎日運動する。
→ 건강을 위해 매일 운동한다.
合格するために、毎日勉強する。
→ 합격하기 위해 매일 공부한다.

2. ～ために (이유)
雨のために、試合が中止になった。
→ 비 때문에 시합이 취소되었다.
事故のために、電車が遅れた。
→ 사고 때문에 전차가 늦었다.
病気のために、会社を休んだ。
→ 병 때문에 회사 쉬었다.
雪が降ったために、飛行機が遅れた。
→ 눈이 와서 비행기가 늦었다.",2026-03-24 13:25:45
39,～だろう,"동사	보통형 + だろう
い형용사	보통형 + だろう
な형용사	だ + だろう
명사	だ + だろう",~일 것이다 / ~겠지 / ~일 것 같다,👉 확실하지 않고 추측 / 예상,"동사
明日は雨が降るだろう。
→ 내일은 비가 올 것이다.
彼は来ないだろう。
→ 그는 안 올 것이다.
日本に行くだろう。
→ 일본에 갈 것이다.

형용사
この店は高いだろう。
→ 이 가게는 비쌀 것이다.
今日は寒いだろう。
→ 오늘은 추울 것이다.

명사 / な형용사
彼は学生だろう。
→ 그는 학생일 것이다.
ここは静かだろう。
→ 여기는 조용할 것이다.",2026-03-24 13:27:47
40,～だろうと思う,"추측 표현 だろう + と思う 합쳐진 문법
👉 약한 추측 + 내 생각",~일 것이라고 생각한다 / ~(할) 것으로 생각한다,"동사	보통형 + だろうと思う
い형용사	보통형 + だろうと思う
な형용사	だ + だろうと思う
명사	だ + だろうと思う","동사
明日は雨が降るだろうと思う。
→ 내일은 비가 올 것이라고 생각한다.
彼は来ないだろうと思う。
→ 그는 안 올 것이라고 생각한다.
日本に行くだろうと思う。
→ 일본에 갈 것이라고 생각한다.

형용사
この店は高いだろうと思う。
→ 이 가게는 비쌀 것이라고 생각한다.
今日は寒いだろうと思う。
→ 오늘은 추울 것이라고 생각한다.

명사
彼は学生だろうと思う。
→ 그는 학생일 것이라고 생각한다.
ここは静かだろうと思う。
→ 여기는 조용할 것이라고 생각한다.",2026-03-24 13:30:19
41,～って,"1. ～って = ～と
보통형 + って

2. ～って = ～という (설명)
명사 + って

3. ～って = ~は (주제)
명사 + って",~라고 / ~라고 하는 / ~란 / ~은(는),"1. ～って = ～と

2. ～って = ～という (설명)

3. ～って = ~は (주제)","1. ～って = ～と
行くって言った。
→ 간다고 말했다.
彼は来ないって。
→ 그는 안 온대.
明日雨だって聞いた。
→ 내일 비라고 들었다.

2. ～って = ～という (설명)
田中って人を知ってる？
→ 다나카라는 사람 알아?
富士山って山は高い。
→ 후지산이라는 산은 높다.
日本って国は面白い。
→ 일본이라는 나라는 재미있다.

3. ～って = ~は (주제)
私って優しいよね。
→ 나 말이야, 착하지?
日本ってどう？
→ 일본 어때?
この店って高いね。
→ 이 가게 말이야, 비싸네.",2026-03-24 13:34:26
42,～つもりだ,"동사	사전형 + つもりだ
동사	ない형 + つもりだ",~할 생각이다 / ~할 작정이다 / ~하려고 한다,👉 미리 정해 둔 계획 / 의지,"来年日本に行くつもりです。
→ 내년에 일본 갈 생각입니다.
明日早く起きるつもりだ。
→ 내일 일찍 일어날 생각이다.
お金を貯めるつもりだ。
→ 돈 모을 생각이다.
タバコは吸わないつもりです。
→ 담배는 피지 않을 생각입니다.
今日は出かけないつもりだ。
→ 오늘은 외출 안 할 생각이다.",2026-03-24 13:35:33
43,～てある,동사 て형 + ある,~해져 있다 / ~해 놓았다 / ~되어 있다 (누군가가 해 둔 상태),"~해져 있다
~해 놓았다
누군가가 일부러 그렇게 해 둔 상태
목적이 있어서 미리 해 둔 상태

👉 누군가가 행동 → 결과 상태 유지

👉～ている vs ～てある 차이
✨～ている	상태 / 진행
✨～てある	누군가 해 둔 상태","ドアが開けてある。
→ 문이 열려 있다 (누가 열어 둠)
名前が書いてある。
→ 이름이 적혀 있다.
机の上に本が置いてある。
→ 책상 위에 책이 놓여 있다.
もう準備してあります。
→ 이미 준비해 놓았습니다.
お金は用意してある。
→ 돈은 준비해 놓았다.",2026-03-24 13:38:03
44,～ている,~하고 있다 / ~해져 있다 / ~하고 있다(상태),~하고 있다 / ~해져 있다 / ~하고 있다(상태),,"1. 진행 (지금 ~하는 중)
지금 ~하고 있다

ご飯を食べている。
→ 밥 먹고 있다.
勉強している。
→ 공부하고 있다.
テレビを見ている。
→ TV 보고 있다.
仕事をしている。
→ 일하고 있다.
👉 동작 동사 → 진행

2. 상태 (~해져 있다)
의미
~해져 있다
결과 상태

👉 자동사 + ている → 상태 의미

예문
ドアが開いている。
→ 문이 열려 있다.
電気がついている。
→ 불이 켜져 있다.
結婚している。
→ 결혼해 있다.
知っている。
→ 알고 있다.

👉
열다(開ける) → 열리다(開く)
자동사일 때 상태 의미 많음.",2026-03-24 14:03:38
